epoch,loss,val_loss
0,0.3240915834903717,0.1733163297176361
1,0.15991805493831635,0.1547834724187851
2,0.14679795503616333,0.1429835706949234
3,0.1370004415512085,0.13593332469463348
4,0.13226839900016785,0.13475599884986877
5,0.12880074977874756,0.1265409141778946
6,0.12879477441310883,0.1282345950603485
7,0.1259797066450119,0.12817928194999695
8,0.12582580745220184,0.12673720717430115
9,0.12193923443555832,0.12963645160198212
10,0.12083517760038376,0.12088030576705933
11,0.12028750032186508,0.12243294715881348
12,0.1206226721405983,0.12211203575134277
13,0.11897728592157364,0.12626956403255463
14,0.11897774785757065,0.12229765206575394
15,0.11818775534629822,0.1203414797782898
16,0.11765024811029434,0.12321684509515762
17,0.11585773527622223,0.11929262429475784
18,0.11615651100873947,0.12763191759586334
19,0.1150311604142189,0.13297626376152039
20,0.11439438164234161,0.12086911499500275
21,0.11330573260784149,0.12731893360614777
22,0.11295725405216217,0.1260298192501068
23,0.1131211370229721,0.1177474856376648
24,0.11242778599262238,0.11915174871683121
25,0.11167152971029282,0.12246453762054443
26,0.11050554364919662,0.12396499514579773
27,0.11147821694612503,0.12332203984260559
28,0.11111757904291153,0.12573730945587158
29,0.11071154475212097,0.11901871860027313
30,0.11081188917160034,0.11603312194347382
31,0.1110835075378418,0.12564516067504883
32,0.10966096073389053,0.14224405586719513
33,0.10899239033460617,0.1212843582034111
34,0.10843216627836227,0.12664182484149933
35,0.10804667323827744,0.12071041017770767
36,0.1087205559015274,0.11807605624198914
37,0.11013324558734894,0.12569241225719452
38,0.10757744312286377,0.11791731417179108
39,0.1074504405260086,0.13209667801856995
40,0.10723194479942322,0.12063120305538177
41,0.10802068561315536,0.12638966739177704
42,0.10669706016778946,0.12774473428726196
43,0.10689293593168259,0.11847005039453506
44,0.10661328583955765,0.13001999258995056
45,0.10640017688274384,0.13208653032779694
46,0.10674430429935455,0.1300281137228012
47,0.10503854602575302,0.1282096952199936
48,0.10560887306928635,0.12993796169757843
49,0.10629367083311081,0.12024735659360886
50,0.10559726506471634,0.11952896416187286
51,0.10646072775125504,0.12940046191215515
52,0.10515470057725906,0.13266268372535706
53,0.10547636449337006,0.1327686458826065
54,0.10590872168540955,0.11639692634344101
55,0.10408299416303635,0.12267794460058212
56,0.10345049947500229,0.1287621110677719
57,0.103642039000988,0.12299372255802155
58,0.1044873297214508,0.12036978453397751
59,0.10986030101776123,0.127125546336174
60,0.10236382484436035,0.12287817895412445
