epoch,loss,val_loss
0,0.22274771332740784,0.15902018547058105
1,0.14817140996456146,0.13714599609375
2,0.13759933412075043,0.13323350250720978
3,0.1317397803068161,0.12844273447990417
4,0.12868745625019073,0.13186003267765045
5,0.12674982845783234,0.12256649136543274
6,0.13090203702449799,0.1316870152950287
7,0.12399182468652725,0.12688353657722473
8,0.12150807678699493,0.1188504546880722
9,0.12142513692378998,0.13730387389659882
10,0.12112287431955338,0.12074663490056992
11,0.11953291296958923,0.11915456503629684
12,0.11709930747747421,0.12084964662790298
13,0.11545182764530182,0.12782445549964905
14,0.1147514209151268,0.122665174305439
15,0.11441411077976227,0.12173407524824142
16,0.11382701992988586,0.11794386804103851
17,0.11357009410858154,0.1331212818622589
18,0.1133309155702591,0.12494941800832748
19,0.11343492567539215,0.12331370264291763
20,0.11229749023914337,0.12498822808265686
21,0.11264018714427948,0.12191354483366013
22,0.11148440837860107,0.12125802040100098
23,0.11065688729286194,0.1271134465932846
24,0.11068332195281982,0.12471192330121994
25,0.11034847795963287,0.1211220771074295
26,0.11012904345989227,0.11948776245117188
27,0.10998884588479996,0.12340477108955383
28,0.10919839143753052,0.1245243176817894
29,0.10952149331569672,0.12871886789798737
30,0.10938521474599838,0.12190728634595871
31,0.10889489203691483,0.1276007443666458
